Value,HRUCODE,HRUDESC,FRAC
4885,14000,Water-All-All-All,1
4886,7400,Dev_Septics-C-All-All,2.89486E-06
4886,9421,Pasture-C-High-1,0.999997105
4887,7400,Dev_Septics-C-All-All,2.89486E-06
4887,9421,Pasture-C-High-1,0.999997105
4888,7400,Dev_Septics-C-All-All,0.006725844
4888,9421,Pasture-C-High-1,0.993274156
4889,7400,Dev_Septics-C-All-All,4.2221E-05
4889,9412,Pasture-C-Low-2,0.999957779
4890,3000,Dev_Residential-All-All-All,0.511567907
4890,6410,Dev_Pervious-C-Low-All,0.488432093
4891,3000,Dev_Residential-All-All-All,0.511567907
4891,6410,Dev_Pervious-C-Low-All,0.488432093
4892,7400,Dev_Septics-C-All-All,4.2221E-05
4892,10411,Open_Space-C-Low-1,0.999957779
4893,11411,Forest-C-Low-1,1
4894,7400,Dev_Septics-C-All-All,4.2221E-05
4894,9412,Pasture-C-Low-2,0.999957779
4895,7400,Dev_Septics-C-All-All,4.2221E-05
4895,11411,Forest-C-Low-1,0.999957779
4896,7300,Dev_Septics-B-All-All,4.2221E-05
4896,11211,Forest-A-Low-1,0.999957779
4897,7400,Dev_Septics-C-All-All,0.002628888
4897,12411,Road_Rural-C-Low-1,0.997371112
4898,7400,Dev_Septics-C-All-All,4.2221E-05
4898,11411,Forest-C-Low-1,0.999957779
4899,4001,Dev_Roof-All-All-1,0.146074931
4899,6420,Dev_Pervious-C-High-All,0.853925069
4900,7400,Dev_Septics-C-All-All,0.002628888
4900,12421,Road_Rural-C-High-1,0.997371112
4901,7400,Dev_Septics-C-All-All,0.005114987
4901,12421,Road_Rural-C-High-1,0.994885013
4902,11211,Forest-A-Low-1,1
4903,7400,Dev_Septics-C-All-All,0.016561205
4903,11421,Forest-C-High-1,0.983438795
4904,7400,Dev_Septics-C-All-All,0.002628888
4904,12421,Road_Rural-C-High-1,0.997371112
4905,5001,Dev_Road-All-All-1,0.830238903
4905,6110,Dev_Pervious-A+-Low-All,0.169761097
4906,11311,Forest-B-Low-1,1
4907,7300,Dev_Septics-B-All-All,0.006725844
4907,9221,Pasture-A-High-1,0.993274156
4908,10211,Open_Space-A-Low-1,1
4909,10311,Open_Space-B-Low-1,1
4910,5004,Dev_Road-All-All-4,0.83329576
4910,6410,Dev_Pervious-C-Low-All,0.16670424
4911,11111,Forest-A+-Low-1,1
4912,11111,Forest-A+-Low-1,1
4913,3000,Dev_Residential-All-All-All,0.573070561
