Value,HRUCODE,HRUDESC,FRAC
4673,7400,Dev_Septics-C-All-All,2.31865E-08
4673,11411,Forest-C-Low-1,0.999999977
4674,7400,Dev_Septics-C-All-All,2.89486E-06
4674,12411,Road_Rural-C-Low-1,0.999997105
4675,9421,Pasture-C-High-1,0.677585713
4675,10421,Open_Space-C-High-1,0.322414287
4676,7400,Dev_Septics-C-All-All,2.89486E-06
4676,9421,Pasture-C-High-1,0.999997105
4677,7400,Dev_Septics-C-All-All,2.89486E-06
4677,9421,Pasture-C-High-1,0.999997105
4678,4001,Dev_Roof-All-All-1,0.15654016
4678,6410,Dev_Pervious-C-Low-All,0.840304238
4678,7400,Dev_Septics-C-All-All,0.003155602
4679,7400,Dev_Septics-C-All-All,2.89486E-06
4679,10421,Open_Space-C-High-1,0.999997105
4680,5003,Dev_Road-All-All-3,0.863894586
4680,6110,Dev_Pervious-A+-Low-All,0.136105414
4681,6410,Dev_Pervious-C-Low-All,1
4682,7400,Dev_Septics-C-All-All,2.31865E-08
4682,9411,Pasture-C-Low-1,0.999999977
4683,7400,Dev_Septics-C-All-All,2.31865E-08
4683,9411,Pasture-C-Low-1,0.999999977
4684,7400,Dev_Septics-C-All-All,0.009760144
4684,12411,Road_Rural-C-Low-1,0.990239856
4685,7300,Dev_Septics-B-All-All,0.00374126
4685,10311,Open_Space-B-Low-1,0.99625874
4686,4001,Dev_Roof-All-All-1,0.210925645
4686,6410,Dev_Pervious-C-Low-All,0.789074337
4686,7400,Dev_Septics-C-All-All,1.82959E-08
4687,7400,Dev_Septics-C-All-All,2.89486E-06
4687,9421,Pasture-C-High-1,0.77006875
4687,10421,Open_Space-C-High-1,0.229928355
4688,4001,Dev_Roof-All-All-1,0.847735155
4688,6420,Dev_Pervious-C-High-All,0.152264845
4689,3000,Dev_Residential-All-All-All,0.15654016
4689,6310,Dev_Pervious-B-Low-All,0.840304238
4689,7300,Dev_Septics-B-All-All,0.003155602
4690,11511,Forest-D-Low-1,1
4691,7400,Dev_Septics-C-All-All,2.89486E-06
4691,11421,Forest-C-High-1,0.999997105
4692,9421,Pasture-C-High-1,0.677585713
4692,10421,Open_Space-C-High-1,0.322414287
4693,7300,Dev_Septics-B-All-All,0.00374126
4693,11311,Forest-B-Low-1,0.99625874
4694,7400,Dev_Septics-C-All-All,2.89486E-06
4694,9421,Pasture-C-High-1,0.77006875
4694,10421,Open_Space-C-High-1,0.229928355
4695,4001,Dev_Roof-All-All-1,0.61495892
4695,6110,Dev_Pervious-A+-Low-All,0.38504108
4696,4001,Dev_Roof-All-All-1,0.847735155
4696,6420,Dev_Pervious-C-High-All,0.152264845
4697,11111,Forest-A+-Low-1,1
4698,7400,Dev_Septics-C-All-All,0.00374126
4698,9411,Pasture-C-Low-1,0.99625874
4699,7400,Dev_Septics-C-All-All,0.00374126
4699,9411,Pasture-C-Low-1,0.99625874
4700,10111,Open_Space-A+-Low-1,1
4701,3000,Dev_Residential-All-All-All,0.61495892
4701,6110,Dev_Pervious-A+-Low-All,0.38504108
4702,7400,Dev_Septics-C-All-All,0.006725844
4702,9421,Pasture-C-High-1,1.10276E-16
4702,9422,Pasture-C-High-2,0.993274156
4703,7400,Dev_Septics-C-All-All,0.006725844
4703,9421,Pasture-C-High-1,1.10276E-16
4703,9422,Pasture-C-High-2,0.993274156
4704,7400,Dev_Septics-C-All-All,0.002049328
4704,10421,Open_Space-C-High-1,0.997950672
4705,11111,Forest-A+-Low-1,1
4706,7400,Dev_Septics-C-All-All,0.002628888
4706,10421,Open_Space-C-High-1,0.997371112
4707,10111,Open_Space-A+-Low-1,1
4708,7300,Dev_Septics-B-All-All,0.008672124
4708,9222,Pasture-A-High-2,0.991327876
4709,7400,Dev_Septics-C-All-All,0.006725844
4709,11411,Forest-C-Low-1,0.993274156
4710,4001,Dev_Roof-All-All-1,0.673853639
4710,6310,Dev_Pervious-B-Low-All,0.326146361
4711,4001,Dev_Roof-All-All-1,0.832033696
4711,6310,Dev_Pervious-B-Low-All,0.167966304
4712,7400,Dev_Septics-C-All-All,0.002049328
4712,10421,Open_Space-C-High-1,0.997950672
4713,5002,Dev_Road-All-All-2,0.624741905
4713,6420,Dev_Pervious-C-High-All,0.374271583
